Titre,titre original,date,note IMDB,note rottentomatoes 1,note rottentomatoes 2
Les évadés,The_Shawshank_Redemption,1994,9.2,91,98
Le parrain,The_Godfather,1972,9.1,98,98
"Le parrain, 2ème partie",The_Godfather_Part_ii,1974,9.0,0,0
The Dark Knight: Le chevalier noir,The_Dark_Knight,2008,9.0,94,94
12 hommes en colère,12_Angry_Men,1957,8.9,0,0
La liste de Schindler,Schindlers_List,1993,8.9,97,97
Le Seigneur des anneaux : Le Retour du roi,The_Lord_of_the_Rings_The_Return_of_the_King,2003,8.9,93,86
Pulp Fiction,Pulp_Fiction,1994,8.8,92,96
"Le Bon, la brute, le truand",il_buono_il_brutto_il_cattivo,1966,8.8,0,0
Le Seigneur des anneaux : La Communauté de l'anneau,The_Lord_of_the_Rings_The_Fellowship_of_the_Ring,2001,8.8,91,95
Fight Club,Fight_Club,1999,8.8,79,96
Forrest Gump,Forrest_Gump,1994,8.8,71,95
Inception,inception,2010,8.7,87,91
Le Seigneur des anneaux : Les Deux Tours,The_Lord_of_the_Rings_The_Two_Towers,2002,8.7,95,95
L'empire contre-attaque,Star_Wars_Episode_v_-_The_Empire_Strikes_Back,1980,8.7,0,0
Matrix,The_Matrix,1999,8.6,88,85
Les affranchis,Goodfellas,1990,8.6,96,97
Vol au-dessus d'un nid de coucou,One_Flew_Over_the_Cuckoos_Nest,1975,8.6,94,96
Les sept samouraïs,Shichinin_no_samurai,1954,8.6,0,0
Seven,Se7en,1995,8.6,0,0
La vie est belle,La_vita_è_bella,1997,8.6,0,0
La Cité de Dieu,Cidade_de_Deus,2002,8.6,0,0
Le Silence des agneaux,The_Silence_of_the_Lambs,1991,8.6,96,95
La vie est belle,its_a_Wonderful_Life,1946,8.6,94,95
Star Wars: Épisode IV - Un nouvel espoir,Star_Wars,1977,8.6,92,96
Il faut sauver le soldat Ryan,Saving_Private_Ryan,1998,8.5,93,95
Le voyage de Chihiro,Sen_to_Chihiro_no_kamikakushi,2001,8.5,97,96
La ligne verte,The_Green_Mile,1999,8.5,78,94
Interstellar,interstellar,2014,8.5,72,86
Parasite,Gisaengchung,2019,8.5,0,0
Léon,Leon,1994,8.5,0,0
Usual Suspects,The_Usual_Suspects,1995,8.5,0,0
Harakiri,Seppuku,1962,8.5,0,0
The Lion King,The_Lion_King,1994,8.5,93,93
Retour vers le futur,Back_to_the_Future,1985,8.5,96,94
Le pianiste,The_Pianist,2002,8.5,0,0
Terminator 2 : Le Jugement dernier,Terminator_2_Judgment_Day,1991,8.5,93,94
American History X,American_History_X,1998,8.5,83,96
Les temps modernes,Modern_Times,1936,8.5,100,95
Psychose,Psycho,1960,8.5,96,95
Gladiator,Gladiator,2000,8.5,77,87
Les lumières de la ville,City_Lights,1931,8.5,98,96
Les infiltrés,The_Departed,2006,8.5,91,94
Intouchables,intouchables,2011,8.5,75,93
Whiplash,Whiplash,2014,8.5,94,94
Le prestige,The_Prestige,2006,8.5,0,0
Le tombeau des lucioles,Hotaru_no_haka,1988,8.5,100,95
Il était une fois dans l'Ouest,Cera_una_volta_il_West,1968,8.4,0,0
Hamilton,Hamilton,2020,8.4,98,90
Casablanca,Casablanca,1942,8.4,99,95
Cinéma Paradiso,Nuovo_Cinema_Paradiso,1988,8.4,0,0
Fenêtre sur cour,Rear_Window,1954,8.4,99,95
Alien - Le 8ème passager,Alien,1979,8.4,98,94
Apocalypse Now,Apocalypse_Now,1979,8.4,98,94
Memento,Memento,2000,8.4,93,94
Le dictateur,The_Great_Dictator,1940,8.4,0,0
Les Aventuriers de l'arche perdue,Raiders_of_the_Lost_Ark,1981,8.4,95,96
Django Unchained,Django_Unchained,2012,8.4,87,91
La vie des autres,Das_Leben_der_Anderen,2006,8.4,0,0
Joker,Joker,2019,8.4,68,88
Les sentiers de la gloire,Paths_of_Glory,1957,8.4,95,95
WALL·E,WALL·E,2008,8.4,0,0
Shining,The_Shining,1980,8.4,84,93
Avengers: Infinity War,Avengers_infinity_War,2018,8.4,85,91
Boulevard du Crépuscule,Sunset_Blvd.,1950,8.4,0,0
Témoin à charge,Witness_for_the_Prosecution,1957,8.4,100,95
Old Boy,Oldeuboi,2003,8.4,0,0
Princesse Mononoké,Mononoke-hime,1997,8.4,0,0
Spider-Man: New Generation,Spider-Man_into_the_Spider-verse,2018,8.4,0,0
Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !,Dr._Strangelove_or_How_i_Learned_to_Stop_Worrying_and_Love_the_Bomb,1964,8.3,0,0
The Dark Knight Rises,The_Dark_Knight_Rises,2012,8.3,87,90
Il était une fois en Amérique,Once_Upon_a_Time_in_America,1984,8.3,87,93
Aliens - Le retour,Aliens,1986,8.3,0,0
Your Name.,Kimi_no_na_wa.,2016,8.3,0,0
Avengers: Endgame,Avengers_Endgame,2019,8.3,94,90
Coco,Coco,2017,8.3,97,94
American Beauty,American_Beauty,1999,8.3,87,93
Braveheart,Braveheart,1995,8.3,0,0
Le bateau,Das_Boot,1981,8.3,98,96
3 Idiots,3_idiots,2009,8.3,100,93
Toy Story,Toy_Story,1995,8.3,100,92
Entre le ciel et l'enfer,Tengoku_to_jigoku,1963,8.3,0,0
Capernaum,Capharnaüm,2018,8.3,0,0
Amadeus,Amadeus,1984,8.3,93,95
Inglourious Basterds,inglourious_Basterds,2009,8.3,89,88
Le Retour du Jedi,Star_Wars_Episode_vi_-_Return_of_the_Jedi,1983,8.3,0,0
Taare Zameen Par,Taare_Zameen_Par,2007,8.3,91,96
Will Hunting,Good_Will_Hunting,1997,8.3,98,94
Reservoir Dogs,Reservoir_Dogs,1992,8.3,92,94
2001: L'odyssée de l'espace,2001_A_Space_Odyssey,1968,8.3,92,89
Requiem for a Dream,Requiem_for_a_Dream,2000,8.3,79,93
Sueurs froides,vertigo,1958,8.3,94,93
M le maudit,M_-_Eine_Stadt_sucht_einen_Mörder,1931,8.3,0,0
Eternal Sunshine of the Spotless Mind,Eternal_Sunshine_of_the_Spotless_Mind,2004,8.3,93,94
La chasse,Jagten,2012,8.3,0,0
Dangal,Dangal,2016,8.3,88,94
Citizen Kane,Citizen_Kane,1941,8.3,100,90
1917,1917,2019,8.2,89,88
Full Metal Jacket,Full_Metal_Jacket,1987,8.2,92,94
Voleur de bicyclette,Ladri_di_biciclette,1948,8.2,0,0
Chantons sous la pluie,Singin_in_the_Rain,1952,8.2,100,95
Le Kid,The_Kid,1921,8.2,49,49
La mort aux trousses,North_by_Northwest,1959,8.2,99,94
Orange mécanique,A_Clockwork_Orange,1971,8.2,0,0
Snatch - Tu braques ou tu raques,Snatch,2000,8.2,73,93
Scarface,Scarface,1983,8.2,82,93
Taxi Driver,Taxi_Driver,1976,8.2,96,93
Vivre,ikiru,1952,8.2,98,97
Le fabuleux destin d'Amélie Poulain,Le_fabuleux_destin_dAmelie_Poulain,2001,8.2,89,95
Lawrence d'Arabie,Lawrence_of_Arabia,1962,8.2,97,93
Toy Story 3,Toy_Story_3,2010,8.2,98,89
L'Arnaque,The_Sting,1973,8.2,0,0
Metropolis,Metropolis,1927,8.2,0,0
Une séparation,Jodaeiye_Nader_az_Simin,2011,8.2,99,92
Incendies,incendies,2010,8.2,93,92
Requiem pour un massacre - Va et regarde,idi_i_smotri,1985,8.2,0,0
...et pour quelques dollars de plus,Per_qualche_dollaro_in_più,1965,8.2,0,0
La garçonnière,The_Apartment,1960,8.2,93,94
Assurance sur la mort,Double_indemnity,1944,8.2,97,95
Du silence et des ombres...,To_Kill_a_Mockingbird,1962,8.2,92,92
Là-haut,Up,2009,8.2,98,90
Indiana Jones et la dernière croisade,indiana_Jones_and_the_Last_Crusade,1989,8.2,88,94
Heat,Heat,1995,8.2,87,94
L.A. Confidential,L.A._Confidential,1997,8.2,0,0
Piège de cristal,Die_Hard,1988,8.2,94,94
Monty Python : Sacré Graal !,Monty_Python_and_the_Holy_Grail,1975,8.2,97,95
Rashomon,Rashômon,1950,8.2,0,0
Le garde du corps,Yôjinbô,1961,8.2,0,0
Batman Begins,Batman_Begins,2005,8.2,84,94
Green Book: Sur les routes du Sud,Green_Book,2018,8.2,77,91
La chute,Der_Untergang,2004,8.2,0,0
Les enfants du ciel,Bacheha-Ye_aseman,1997,8.2,0,0
Impitoyable,Unforgiven,1992,8.2,96,93
Ran,Ran,1985,8.2,97,95
Certains l'aiment chaud,Some_Like_it_Hot,1959,8.2,95,94
Le château ambulant,Hauru_no_ugoku_shiro,2004,8.2,0,0
Ève,All_About_Eve,1950,8.2,0,0
Un homme d'exception,A_Beautiful_Mind,2001,8.2,74,93
Casino,Casino,1995,8.2,0,0
La grande évasion,The_Great_Escape,1963,8.2,94,95
Le loup de Wall Street,The_Wolf_of_Wall_Street,2013,8.2,0,0
Le labyrinthe de Pan,El_laberinto_del_fauno,2006,8.2,0,0
Dans ses yeux,El_secreto_de_sus_ojos,2009,8.1,0,0
"Arnaques, crimes et botanique",Lock_Stock_and_Two_Smoking_Barrels,1998,8.1,75,93
There Will Be Blood,There_Will_Be_Blood,2007,8.1,92,86
Raging Bull,Raging_Bull,1980,8.1,93,93
Mon voisin Totoro,Tonari_no_Totoro,1988,8.1,0,0
Jugement à Nuremberg,Judgment_at_Nuremberg,1961,8.1,91,93
Le trésor de la Sierra Madre,The_Treasure_of_the_Sierra_Madre,1948,8.1,0,0
Anand,Anand,1971,8.1,0,0
Le crime était presque parfait,Dial_M_for_Murder,1954,8.1,89,92
3 Billboards: Les panneaux de la vengeance,Three_Billboards_Outside_Ebbing_Missouri,2017,8.1,90,87
Chinatown,Chinatown,1974,8.1,99,93
La ruée vers l'or,The_Gold_Rush,1925,8.1,100,93
Shutter Island,Shutter_island,2010,8.1,0,0
Mon père et mon fils,Babam_ve_Oglum,2005,8.1,0,0
"No Country for Old Men - Non, ce pays n'est pas pour le vieil homme",No_Country_for_Old_Men,2007,8.1,93,86
V pour vendetta,v_for_vendetta,2005,8.1,73,90
Le septième sceau,Det_sjunde_inseglet,1957,8.1,0,0
Vice-versa,inside_Out,2015,8.1,98,89
Warrior,Warrior,2011,8.1,0,0
Elephant Man,The_Elephant_Man,1980,8.1,0,0
The Thing,The_Thing,1982,8.1,0,0
Sixième sens,The_Sixth_Sense,1999,8.1,0,0
Trainspotting,Trainspotting,1996,8.1,91,93
Jurassic Park,Jurassic_Park,1993,8.1,91,91
Autant en emporte le vent,Gone_with_the_Wind,1939,8.1,91,92
The Truman Show,The_Truman_Show,1998,8.1,0,0
Le Monde de Nemo,Finding_Nemo,2003,8.1,99,86
Les fraises sauvages,Smultronstället,1957,8.1,0,0
Blade Runner,Blade_Runner,1982,8.1,90,91
Stalker,Stalker,1979,8.1,0,0
Sonate d'automne,Höstsonaten,1978,8.1,0,0
Kill Bill: Volume I,Kill_Bill_vol._1,2003,8.1,0,0
Le pont de la rivière Kwaï,The_Bridge_on_the_River_Kwai,1957,8.1,0,0
Room,Room,2015,8.1,24,47
Memories of Murder,Salinui_chueok,2003,8.1,0,0
Fargo,Fargo,1996,8.1,94,93
Voyage à Tokyo,Tôkyô_monogatari,1953,8.1,0,0
Gran Torino,Gran_Torino,2008,8.1,81,90
Le troisième homme,The_Third_Man,1949,8.1,99,93
Sur les quais...,On_the_Waterfront,1954,8.1,99,95
Les Nouveaux Sauvages,Relatos_salvajes,2014,8.1,94,92
Voyage au bout de l'enfer,The_Deer_Hunter,1978,8.1,93,92
La légende de Klaus,Klaus,2019,8.1,94,97
Au nom du père,in_the_Name_of_the_Father,1993,8.1,94,95
Mary et Max.,Mary_and_Max,2009,8.1,0,0
Gone Girl,Gone_Girl,2014,8.1,87,87
The Grand Budapest hotel,The_Grand_Budapest_Hotel,2014,8.1,92,86
Tu ne tueras point,Hacksaw_Ridge,2016,8.1,85,91
Before Sunrise,Before_Sunrise,1995,8.1,100,93
Arrête-moi si tu peux,Catch_Me_if_You_Can,2002,8.1,96,89
Andhadhun,Andhadhun,2018,8.1,100,91
Persona,Persona,1966,8.1,90,94
The Big Lebowski,The_Big_Lebowski,1998,8.1,83,93
Prisoners,Prisoners,2013,8.1,81,87
Jeux dangereux,To_Be_or_Not_to_Be,1942,8.1,98,93
Sherlock Junior,Sherlock_Jr.,1924,8.1,96,95
Vikram Vedha,vikram_vedha,2017,8.1,0,0
Eskiya le bandit,Eskiya,1996,8.1,0,0
Le mécano de la Générale,The_General,1926,8.1,0,0
Dragons,How_to_Train_Your_Dragon,2010,8.1,99,91
Le Mans '66,Ford_v_Ferrari,2019,8.1,92,98
12 Years a Slave,12_Years_a_Slave,2013,8.1,95,90
Mr. Smith au sénat,Mr._Smith_Goes_to_Washington,1939,8.1,0,0
Barry Lyndon,Barry_Lyndon,1975,8.1,91,92
Mad Max: Fury Road,Mad_Max_Fury_Road,2015,8.1,97,85
Million Dollar Baby,Million_Dollar_Baby,2004,8.1,91,90
Network - Main basse sur la TV,Network,1976,8.1,91,93
Stand by me - Compte sur moi,Stand_by_Me,1986,8.1,0,0
Le cercle des poètes disparus,Dead_Poets_Society,1989,8.1,84,92
Luke la main froide,Cool_Hand_Luke,1967,8.1,100,95
Ben-Hur,Ben-Hur,1959,8.1,0,0
Hatchi,Hachi_A_Dogs_Tale,2009,8.1,64,84
Harry Potter et les reliques de la mort: Partie 2,Harry_Potter_and_the_Deathly_Hallows_Part_2,2011,8.1,96,89
Platoon,Platoon,1986,8.1,88,93
Into the Wild,into_the_Wild,2007,8.1,83,89
Logan,Logan,2017,8.1,93,90
Le salaire de la peur,Le_salaire_de_la_peur,1953,8.0,0,0
Monty Python: La Vie de Brian,Life_of_Brian,1979,8.0,0,0
Mademoiselle,Ah-ga-ssi,2016,8.0,0,0
Rush,Rush,2013,8.0,88,88
Les quatre cents coups,Les_quatre_cents_coups,1959,8.0,0,0
La passion de Jeanne d'Arc,La_passion_de_Jeanne_dArc,1928,8.0,0,0
Spotlight,Spotlight,2015,8.0,97,93
Andreï Roublev,Andrey_Rublev,1966,8.0,0,0
Hôtel Rwanda,Hotel_Rwanda,2004,8.0,91,94
La haine,La_haine,1995,8.0,100,95
Amours chiennes,Amores_perros,2000,8.0,92,94
Du rififi chez les hommes,Du_rififi_chez_les_hommes,1955,8.0,92,95
Rocky,Rocky,1976,8.0,0,0
Nausicaä de la vallée du vent,Kaze_no_tani_no_Naushika,1984,8.0,0,0
Gangs of Wasseypur,Gangs_of_Wasseypur,2012,8.0,97,91
Monstres & Cie,Monsters_inc.,2001,8.0,96,90
Rebecca,Rebecca,1940,8.0,41,41
Rang De Basanti,Rang_De_Basanti,2006,8.0,86,94
Before Sunset,Before_Sunset,2004,8.0,95,91
In the Mood for Love,Fa_yeung_nin_wah,2000,8.0,0,0
Portrait de la jeune fille en feu,Portrait_de_la_jeune_fille_en_feu,2019,8.0,98,92
"Paris, Texas",Paris_Texas,1984,8.0,97,93
New York - Miami,it_Happened_One_Night,1934,8.0,98,93
Drishyam,Drishyam,2015,8.0,80,92
L'accusé,Contratiempo,2016,8.0,0,0
La couleur des sentiments,The_Help,2011,8.0,76,89
Princess Bride,The_Princess_Bride,1987,8.0,97,94
Le cirque,The_Circus,1928,8.0,96,94
La bataille d'Alger,La_battaglia_di_Algeri,1966,8.0,0,0
Mandarines,Mandariinid,2013,8.0,88,89
Terminator,The_Terminator,1984,8.0,100,89
Winter Sleep,Kis_Uykusu,2014,8.0,87,83
